Source,Target,Type,Id,Label,Weight,d1
Yu-Gi-Oh! Zexal Ii Season 3,Vortexx,Directed,20115,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yasuyuki Suzuki,Directed,20116,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh!,Directed,20117,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! (1998 Tv Series),Directed,20118,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! (1999 Film),Directed,20119,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! 5D'S,Directed,20120,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! 5D'S Season 1,Directed,20121,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! 5D'S Season 2,Directed,20122,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! 5D'S Season 3,Directed,20123,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! 5D'S Season 4,Directed,20124,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! 5D'S Season 5,Directed,20125,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Arc-V,Directed,20126,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Arc-V (Manga),Directed,20127,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Arc-V Season 1,Directed,20128,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Arc-V Season 2,Directed,20129,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Arc-V Season 3,Directed,20130,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Bonds Beyond Time,Directed,20131,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Capsule Monsters,Directed,20132,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Dark Duel Stories,Directed,20133,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Duel Links,Directed,20134,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Duel Monsters,Directed,20135,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Duel Monsters Season 1,Directed,20136,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Duel Monsters Season 2,Directed,20137,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Duel Monsters Season 3,Directed,20138,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Duel Monsters Season 4,Directed,20139,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Duel Monsters Season 5,Directed,20140,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Dungeon Dice Monsters,Directed,20141,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Early Days Collection,Directed,20142,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Forbidden Memories,Directed,20143,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Gx,Directed,20144,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Gx Tag Force 2,Directed,20145,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Gx Season 1,Directed,20146,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Gx Season 2,Directed,20147,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Gx Season 3,Directed,20148,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Gx Season 4,Directed,20149,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Go Rush!!,Directed,20150,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Go Rush!! Season 1,Directed,20151,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Go Rush!! Season 2,Directed,20152,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Go Rush!! Season 3,Directed,20153,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Legacy Of The Duelist,Directed,20154,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Legacy Of The Duelist: Link Evolution,Directed,20155,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Master Duel,Directed,20156,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Nightmare Troubadour,Directed,20157,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! R,Directed,20158,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Sevens,Directed,20159,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Sevens Season 1,Directed,20160,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Sevens Season 2,Directed,20161,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! The Dark Side Of Dimensions,Directed,20162,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! The Dawn Of Destiny,Directed,20163,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! The Duelists Of The Roses,Directed,20164,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! The Eternal Duelist Soul,Directed,20165,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! The Falsebound Kingdom,Directed,20166,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! The Movie: Pyramid Of Light,Directed,20167,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! The Sacred Cards,Directed,20168,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Trading Card Game,Directed,20169,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Vrains,Directed,20170,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Vrains Season 1,Directed,20171,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Vrains Season 2,Directed,20172,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Vrains Season 3,Directed,20173,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! World Championship Tournament 2004,Directed,20174,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Worldwide Edition: Stairway To The Destined Duel,Directed,20175,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Zexal,Directed,20176,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Zexal Ii Season 1,Directed,20177,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Zexal Ii Season 2,Directed,20178,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Zexal Season 1,Directed,20179,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Zexal Season 2,Directed,20180,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yu-Gi-Oh! Zexal Season 3,Directed,20181,,1,0
Yu-Gi-Oh! Zexal Ii Season 3,Yugi Mutou,Directed,20182,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Airforce Delta,Directed,20183,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Android (Operating System),Directed,20184,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Anime,Directed,20185,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Anime News Network,Directed,20186,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Australasia,Directed,20187,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Beatmania,Directed,20188,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Beatmania Iidx,Directed,20189,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Bemani,Directed,20190,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Bishi Bashi,Directed,20191,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Bloody Roar,Directed,20192,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Boktai,Directed,20193,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Bomberman,Directed,20194,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Bonk (Series),Directed,20195,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Castlevania,Directed,20196,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Contra (Series),Directed,20197,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Dance Dance Revolution,Directed,20198,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Deca Sports,Directed,20199,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Digital Eclipse,Directed,20200,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Downloadable Content,Directed,20201,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Efootball,Directed,20202,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Esrb,Directed,20203,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Enterbrain,Directed,20204,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Europe,Directed,20205,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Famitsu,Directed,20206,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Frogger (Series),Directed,20207,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Gti Club,Directed,20208,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Gamecube,Directed,20209,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Gamerankings,Directed,20210,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Game Boy,Directed,20211,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Game Boy Advance,Directed,20212,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Game Boy Color,Directed,20213,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Ganbare Goemon,Directed,20214,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Gradius,Directed,20215,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Guitarfreaks And Drummania,Directed,20216,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Hepburn Romanization,Directed,20217,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Ign,Directed,20218,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Ios,Directed,20219,,1,0
Yu-Gi-Oh! Nightmare Troubadour,International Superstar Soccer,Directed,20220,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Japan,Directed,20221,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Japanese Language,Directed,20222,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Jubeat,Directed,20223,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Jump Force,Directed,20224,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Jump Super Stars,Directed,20225,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Jump Ultimate Stars,Directed,20226,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Karaoke Revolution,Directed,20227,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Kazuki Takahashi,Directed,20228,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Konami,Directed,20229,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Konami Computer Entertainment Japan,Directed,20230,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Manga,Directed,20231,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Metacritic,Directed,20232,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Metal Gear,Directed,20233,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Microsoft,Directed,20234,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Mobile Phone,Directed,20235,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Momotaro Dentetsu,Directed,20236,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Momotarō Densetsu,Directed,20237,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Nectaris,Directed,20238,,1,0
Yu-Gi-Oh! Nightmare Troubadour,New Zealand,Directed,20239,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Next Generation (Magazine),Directed,20240,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Nintendo 3Ds,Directed,20241,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Nintendo Ds,Directed,20242,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Nintendo Switch,Directed,20243,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Norihiko Hibino,Directed,20244,,1,0
Yu-Gi-Oh! Nightmare Troubadour,North America,Directed,20245,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Parodius,Directed,20246,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Personal Computer,Directed,20247,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Playstation (Console),Directed,20248,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Playstation 2,Directed,20249,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Playstation 3,Directed,20250,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Playstation 4,Directed,20251,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Playstation 5,Directed,20252,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Playstation Network,Directed,20253,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Playstation Portable,Directed,20254,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Playstation Store,Directed,20255,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Pop'N Music,Directed,20256,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Power Pros,Directed,20257,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Pro Evolution Soccer,Directed,20258,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Professional Baseball Spirits,Directed,20259,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Puzzle Series,Directed,20260,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Racing Game,Directed,20261,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Reflec Beat,Directed,20262,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Rocket Knight Adventures,Directed,20263,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Seto Kaiba,Directed,20264,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Silent Hill,Directed,20265,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Silent Scope,Directed,20266,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Sony Computer Entertainment,Directed,20267,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Sound Voltex,Directed,20268,,1,0
Yu-Gi-Oh! Nightmare Troubadour,South Korea,Directed,20269,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Star Soldier,Directed,20270,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Steam (Service),Directed,20271,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Suikoden,Directed,20272,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Taisen Puzzle-Dama,Directed,20273,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Tengai Makyō,Directed,20274,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Tokimeki Memorial,Directed,20275,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Twinbee (Series),Directed,20276,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Vandal Hearts,Directed,20277,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Wayback Machine,Directed,20278,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Wii,Directed,20279,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Xbox (Console),Directed,20280,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Xbox 360,Directed,20281,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Xbox Live,Directed,20282,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Xbox Live Arcade,Directed,20283,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Xbox One,Directed,20284,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Xbox Series X And Series S,Directed,20285,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh!,Directed,20286,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! (1998 Tv Series),Directed,20287,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! (1999 Film),Directed,20288,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! 5D'S,Directed,20289,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! 5D'S Season 1,Directed,20290,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! 5D'S Season 2,Directed,20291,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! 5D'S Season 3,Directed,20292,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! 5D'S Season 4,Directed,20293,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! 5D'S Season 5,Directed,20294,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Arc-V,Directed,20295,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Arc-V (Manga),Directed,20296,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Arc-V Season 1,Directed,20297,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Arc-V Season 2,Directed,20298,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Arc-V Season 3,Directed,20299,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Bonds Beyond Time,Directed,20300,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Capsule Monsters,Directed,20301,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Dark Duel Stories,Directed,20302,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Duel Links,Directed,20303,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Duel Monsters,Directed,20304,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Duel Monsters Season 1,Directed,20305,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Duel Monsters Season 2,Directed,20306,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Duel Monsters Season 3,Directed,20307,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Duel Monsters Season 4,Directed,20308,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Duel Monsters Season 5,Directed,20309,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Dungeon Dice Monsters,Directed,20310,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Early Days Collection,Directed,20311,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Forbidden Memories,Directed,20312,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Gx,Directed,20313,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Gx Tag Force 2,Directed,20314,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Gx Season 1,Directed,20315,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Gx Season 2,Directed,20316,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Gx Season 3,Directed,20317,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Gx Season 4,Directed,20318,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Go Rush!!,Directed,20319,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Go Rush!! Season 1,Directed,20320,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Go Rush!! Season 2,Directed,20321,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Go Rush!! Season 3,Directed,20322,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Legacy Of The Duelist,Directed,20323,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Legacy Of The Duelist: Link Evolution,Directed,20324,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Master Duel,Directed,20325,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! R,Directed,20326,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Sevens,Directed,20327,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Sevens Season 1,Directed,20328,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Sevens Season 2,Directed,20329,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! The Dark Side Of Dimensions,Directed,20330,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! The Dawn Of Destiny,Directed,20331,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! The Duelists Of The Roses,Directed,20332,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! The Eternal Duelist Soul,Directed,20333,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! The Falsebound Kingdom,Directed,20334,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! The Movie: Pyramid Of Light,Directed,20335,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! The Sacred Cards,Directed,20336,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Trading Card Game,Directed,20337,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Vrains,Directed,20338,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Vrains Season 1,Directed,20339,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Vrains Season 2,Directed,20340,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Vrains Season 3,Directed,20341,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! World Championship Tournament 2004,Directed,20342,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Worldwide Edition: Stairway To The Destined Duel,Directed,20343,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Zexal,Directed,20344,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Zexal Ii Season 1,Directed,20345,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Zexal Ii Season 2,Directed,20346,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Zexal Ii Season 3,Directed,20347,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Zexal Season 1,Directed,20348,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Zexal Season 2,Directed,20349,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yu-Gi-Oh! Zexal Season 3,Directed,20350,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Yugi Mutou,Directed,20351,,1,0
Yu-Gi-Oh! Nightmare Troubadour,Zone Of The Enders,Directed,20352,,1,0
French Language,Acadian French,Directed,20353,,1,0
French Language,Acute Accent,Directed,20354,,1,0
French Language,Adjective,Directed,20355,,1,0
French Language,African Romance,Directed,20356,,1,0
French Language,African Union,Directed,20357,,1,0
French Language,Aisinian Aragonese,Directed,20358,,1,0
French Language,Alemannic German,Directed,20359,,1,0
French Language,Alentejan Portuguese,Directed,20360,,1,0
French Language,Algherese Dialect,Directed,20361,,1,0
French Language,Alsatian Dialect,Directed,20362,,1,0
French Language,Alveolar Consonant,Directed,20363,,1,0
French Language,Amazon Standard Identification Number,Directed,20364,,1,0
French Language,Amnesty International,Directed,20365,,1,0
French Language,Ancient Greek,Directed,20366,,1,0
French Language,Andalusi Romance,Directed,20367,,1,0
French Language,Andalusian Spanish,Directed,20368,,1,0
French Language,Andorra,Directed,20369,,1,0
French Language,Angevin Dialect,Directed,20370,,1,0
French Language,Anglo-Norman Language,Directed,20371,,1,0
French Language,Ansó Aragonese,Directed,20372,,1,0
French Language,Approximant Consonant,Directed,20373,,1,0
French Language,Arabic,Directed,20374,,1,0
French Language,Aragonese Dialects,Directed,20375,,1,0
French Language,Aragonese Language,Directed,20376,,1,0
French Language,Aragüés Aragonese,Directed,20377,,1,0
French Language,Aranese Dialect,Directed,20378,,1,0
French Language,Arianese Dialect,Directed,20379,,1,0
French Language,Aromanian Language,Directed,20380,,1,0
French Language,Article (Grammar),Directed,20381,,1,0
French Language,Asturian Language,Directed,20382,,1,0
French Language,Asturleonese Language,Directed,20383,,1,0
French Language,Augeron,Directed,20384,,1,0
French Language,Auregnais,Directed,20385,,1,0
French Language,Auvergnat,Directed,20386,,1,0
French Language,Auxiliary Verb,Directed,20387,,1,0
French Language,Back Vowel,Directed,20388,,1,0
